Word,Weight
SLASH,1.0
SLEET,1.0
SLEPT,1.0
SLICK,1.0
SLIDE,1.0
SLIME,1.0
SLIMY,1.0
SLING,1.0
SLINK,1.0
SLOOP,1.0
SLUNK,1.0
SLURP,1.0
SLUSH,1.0
SLYLY,1.0
SMACK,1.0
SMARM,0.5
SMELL,1.0
SMOKY,1.0
SMOTE,1.0
SMUSH,0.5
SNARF,0.5
SNARK,0.5
SNEER,1.0
SNIFF,1.0
SNIPE,1.0
SNOOT,0.5
SNORE,1.0
SNOWY,1.0
SNUCK,1.0
SNUFF,1.0
SOAPY,1.0
SOBER,1.0
SOFTY,0.5
SONAR,1.0
SOOTH,1.0
SOOTY,1.0
SOPPY,0.5
SOUPY,0.5
SPANK,1.0
SPAWN,1.0
SPERM,1.0
SPIED,1.0
SPIFF,0.5
SPIKY,1.0
SPILT,1.0
SPLAY,0.5
SPOOK,1.0
SPORK,0.5
SPREE,1.0
SPUME,0.5
SPUNK,1.0
SPURN,1.0
SQUAB,0.5
SQUIB,1.0
STALK,1.0
STAPH,0.5
STAVE,1.0
STEAK,1.0
STEAL,1.0
STEER,1.0
STELE,0.5
STENO,0.5
STENT,0.5
STILE,0.5
STOKE,1.0
STOMA,0.5
STOOP,1.0
STREP,0.5
STREW,0.5
STRIP,1.0
STRUM,0.5
STUCK,1.0
STUFF,1.0
STUNK,1.0
SUDSY,0.5
SUING,1.0
SUNUP,0.5
SWAIN,0.5
SWALE,0.5
SWAMI,1.0
SWAMP,1.0
SWANG,0.5
SWANK,0.5
SWARM,1.0
SWASH,1.0
SWEAR,1.0
SWEPT,1.0
SWIFT,1.0
SWIPE,0.5
SWORE,1.0
SWORN,1.0
SYNCH,0.5
SYNOD,1.0
SYNTH,0.5
TAINT,1.0
TAKER,1.0
TALKY,0.5
TALUS,0.5
TAMER,1.0
TANGO,1.0
TAROT,1.0
TARRY,0.5
TASER,0.5
TATER,0.5
TATTY,1.0
TEDDY,1.0
TEENY,0.5
TELOS,0.5
TEMPT,0.5
TENET,1.0
TENSE,1.0
TEPEE,1.0
TERRA,1.0
TERRY,0.5
TESTY,1.0
TETRA,0.5
THEFT,0.5
THETA,1.0
THINE,0.5
THONG,1.0
TIGHT,1.0
TIMID,1.0
TINNY,0.5
TITER,0.5
TOADY,0.5
TODDY,1.0
TOKEN,1.0
TONAL,1.0
TONEY,0.5
TONGA,1.0
TORAH,0.5
TORTA,0.5
TORTE,0.5
TORUS,1.0
TRAMP,1.0
TRANS,0.5
TRESS,0.5
TRIBE,1.0
TRIED,1.0
TRIKE,0.5
TRILL,0.5
TROMP,0.5
TRUCE,1.0
TRUER,1.0
TRUMP,1.0
TRUNK,1.0
TUBAL,1.0
TUBBY,0.5
TUFTY,0.5
TULLE,1.0
TUMMY,0.5
TUMOR,1.0
TWAIN,0.5
TWEEN,0.5
TWEET,1.0
TWERK,0.5
TWERP,0.5
TWILL,0.5
TWIXT,1.0
TYING,1.0
ULNAR,0.5
UMAMI,0.5
UMBER,0.5
UMBRA,1.0
UNARM,0.5
UNBOX,0.5
UNCAP,0.5
UNCUT,1.0
UNHIP,0.5
UNITY,1.0
UNJAM,0.5
UNPIN,0.5
UNSAY,0.5
UNSEE,0.5
UNSET,1.0
UNTAG,0.5
UNWED,1.0
UPEND,0.5
URINE,1.0
USURY,0.5
UTILE,1.0
VALOR,1.0
VALVE,1.0
VAMPY,0.5
VAPOR,1.0
VAUNT,1.0
VEINY,0.5
VELDT,0.5
VENAL,0.5
VENTI,0.5
VERSO,1.0
VICAR,1.0
VIGIL,1.0
VIPER,1.0
VIRUS,1.0
VISIT,1.0
VISTA,1.0
VITRO,0.5
VOCAL,1.0
VOGUE,1.0
VOILE,0.5
VOMIT,1.0
VROOM,0.5
WACKO,0.5
WAGER,1.0
WAIVE,1.0
WAKEN,0.5
WANLY,0.5
WARTY,1.0
WAVER,1.0
WEAVE,1.0
WEEPY,0.5
WEIGH,1.0
WELCH,1.0
WELSH,1.0
WHARF,1.0
WHELK,0.5
WHIRR,0.5
WHIST,0.5
WHIZZ,0.5
WHOMP,0.5
WHORL,0.5
WIDER,1.0
WIDOW,1.0
WIGHT,1.0
WILLY,1.0
WIMPY,1.0
WINCH,1.0
WINEY,0.5
WISER,1.0
WISPY,1.0
WOMEN,1.0
WONKY,0.5
WOODY,1.0
WOOLY,1.0
WOOZY,1.0
WORMY,0.5
WORTH,1.0
WRACK,1.0
WRECK,1.0
WREST,1.0
WRING,1.0
WRYLY,1.0
WURST,0.5
XENON,0.5
YAHOO,0.5
YAPPY,0.5
YODEL,0.5
YOKEL,0.5
YUCCA,0.5
YUCKY,0.5
YUMMY,0.5
ZILCH,0.5
ZIPPY,0.5
ZONAL,1.0
